,COMB.N0000.LK,COMB.N0000.LK,COMB.N0000.LK,COMB.N0000.LK,COMB.N0000.LK,COMB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK
2024-04-16,93.49,94.59,93.16,93.21,93.21,79730,170.14,185.4,161.55,183.65,183.65,91107,54.96,56.89,53.46,54.74,54.74,176182,68.16,72.01,67.87,71.8,71.8,177894,65.17,67.15,61.17,62.19,62.19,75555,56.86,61.15,56.22,58.79,58.79,182244
2024-04-17,93.95,97.34,92.51,96.21,96.21,98774,184.99,196.3,164.6,186.14,186.14,80678,54.99,55.58,53.62,54.91,54.91,133368,71.97,77.82,65.51,72.4,72.4,108148,62.19,64.3,61.17,61.3,61.3,80894,58.6,61.14,56.41,56.75,56.75,39345
2024-04-18,95.48,97.28,94.78,96.82,96.82,35057,184.95,186.77,175.07,184.25,184.25,150255,54.73,54.84,54.35,54.53,54.53,197343,72.61,73.59,68.93,71.37,71.37,189772,61.38,65.27,61.1,63.83,63.83,189627,56.65,61.41,54.41,58.71,58.71,107514
2024-04-19,96.76,99.45,93.92,96.73,96.73,84475,182.39,184.27,173.06,179.08,179.08,117247,54.58,55.9,54.35,55.65,55.65,58799,71.58,72.77,69.56,70.48,70.48,77876,63.54,68.21,63.13,66.01,66.01,16557,58.06,60.4,56.67,59.37,59.37,82410
2024-04-20,97.03,97.41,96.1,96.37,96.37,11157,179.88,184.89,161.64,182.05,182.05,103181,55.63,56.3,55.31,56.19,56.19,64324,70.15,73.39,68.17,70.99,70.99,82750,65.56,70.64,63.02,64.55,64.55,38300,59.34,64.65,56.18,60.08,60.08,132788
2024-04-21,95.81,100.43,93.79,95.06,95.06,86935,182.7,182.78,164.59,165.69,165.69,110130,55.78,57.51,53.8,56.4,56.4,178324,71.1,76.18,68.66,69.26,69.26,36138,64.52,66.73,61.95,62.55,62.55,72268,59.62,64.99,59.57,62.16,62.16,154729
2024-04-22,94.67,96.19,90.48,90.59,90.59,118314,166.26,169.06,165.02,166.54,166.54,154958,55.94,56.24,55.01,55.52,55.52,134587,69.04,75.6,67.54,74.64,74.64,170522,62.61,65.22,61.64,65.09,65.09,121678,62.32,66.79,62.02,63.01,63.01,195224
2024-04-23,90.39,95.66,89.19,93.15,93.15,47296,165.58,167.05,164.87,165.04,165.04,87775,55.66,55.86,54.01,54.36,54.36,146170,73.92,76.88,71.32,73.89,73.89,10507,64.99,66.31,61.95,64.12,64.12,184344,62.82,65.85,62.56,62.67,62.67,84093
2024-04-24,92.99,97.35,91.09,92.4,92.4,183485,164.81,165.55,163.48,163.67,163.67,184038,54.59,55.72,53.48,55.43,55.43,51592,73.19,79.65,69.01,75.56,75.56,125026,64.26,67.14,58.75,63.69,63.69,136245,62.51,69.72,61.78,69.64,69.64,67195
2024-04-25,92.04,99.02,91.99,94.74,94.74,53269,162.66,164.3,158.93,159.69,159.69,118293,55.58,55.83,55.2,55.3,55.3,106644,75.53,75.54,75.43,75.53,75.53,161543,63.71,64.16,60.21,60.83,60.83,73770,70.1,70.88,64.44,70.13,70.13,52936
2024-04-26,94.3,99.16,92.66,96.98,96.98,167565,160.37,163.92,152.43,152.67,152.67,172584,55.41,56.86,54.78,55.8,55.8,18699,75.83,77.46,74.62,76.09,76.09,189698,61.18,63.74,60.61,63.6,63.6,167026,70.34,73.75,64.12,70.56,70.56,199945
2024-04-27,97.03,101.81,94.41,101.69,101.69,109460,153.94,164.37,150.86,152.63,152.63,117386,55.29,58.58,55.26,56.49,56.49,137547,76.16,79.92,71.62,73.58,73.58,34747,63.75,64.52,61.36,61.61,61.61,184077,71.25,73.17,65.12,66.93,66.93,143702
2024-04-28,101.67,102.46,96.87,97.55,97.55,74677,152.25,162.08,151.03,152.24,152.24,131822,56.61,60.4,54.78,58.94,58.94,120713,72.57,75.24,71.38,74.46,74.46,53000,61.32,63.52,59.77,60.5,60.5,20865,66.72,69.32,63.26,66.8,66.8,140951
2024-04-29,97.32,99.88,97.08,99.1,99.1,37619,151.88,160.87,149.22,159.83,159.83,42055,58.82,60.31,54.65,59.54,59.54,132803,74.48,74.64,72.2,73.28,73.28,109098,60.82,62.92,59.8,62.43,62.43,98684,66.72,68.65,65.58,68.03,68.03,182033
2024-04-30,99.39,101.73,95.73,96.18,96.18,63582,160.04,165.62,158.02,165.5,165.5,111326,59.73,60.9,54.74,57.28,57.28,25502,72.86,74.61,71.99,72.91,72.91,190568,62.41,62.66,60.99,62.42,62.42,35825,67.89,68.03,66.71,67.94,67.94,28760
2024-05-01,95.69,98.7,93.71,95.89,95.89,98241,165.96,169.8,156.45,158.37,158.37,94325,57.4,57.88,55.69,56.02,56.02,138296,72.91,73.05,72.77,72.77,72.77,184335,62.2,62.41,59.8,61.25,61.25,138715,67.87,70.71,64.06,68.82,68.82,78995
2024-05-02,95.42,96.31,91.96,95.01,95.01,28046,157.81,165.24,152.99,158.72,158.72,106622,55.55,56.4,53.25,53.46,53.46,35374,72.14,76.39,68.07,71.81,71.81,72283,61.37,61.67,59.64,61.41,61.41,47827,68.46,68.88,66.31,66.74,66.74,46238
2024-05-03,95.5,96.49,93.47,94.18,94.18,190258,159.63,161.16,158.06,159.34,159.34,139004,53.65,53.86,53.28,53.73,53.73,23303,71.29,72.86,69.0,69.64,69.64,122199,61.33,61.74,59.2,61.43,61.43,73402,66.84,70.1,65.12,69.79,69.79,140884
2024-05-04,94.63,94.73,93.55,94.51,94.51,76836,158.23,159.17,157.68,158.49,158.49,199477,53.56,54.07,52.68,53.88,53.88,24933,69.39,73.21,67.18,68.35,68.35,53026,61.9,61.93,59.39,60.71,60.71,195137,69.61,70.67,67.96,68.51,68.51,111542
2024-05-05,95.93,97.15,92.27,93.76,93.76,59918,157.93,161.06,150.14,158.1,158.1,131401,53.88,57.33,52.11,56.99,56.99,32230,68.34,69.49,66.8,68.28,68.28,36890,60.64,61.71,57.2,59.36,59.36,146097,68.72,72.31,66.6,68.53,68.53,53479
2024-05-06,93.77,94.08,90.33,93.1,93.1,171933,158.44,159.09,156.02,158.32,158.32,181073,57.03,57.75,53.46,55.58,55.58,113059,68.54,72.07,68.14,68.68,68.68,173482,59.02,61.69,57.68,61.05,61.05,183028,68.51,71.51,67.78,69.19,69.19,43027
2024-05-07,92.94,94.54,89.93,94.39,94.39,91613,158.25,160.85,149.19,154.93,154.93,176269,55.53,57.45,53.87,55.39,55.39,193001,68.85,72.86,68.68,71.34,71.34,157874,60.59,61.16,58.01,60.21,60.21,39417,68.9,70.52,67.21,69.66,69.66,145328
2024-05-08,94.24,97.33,86.4,94.21,94.21,199661,154.75,156.21,147.53,147.72,147.72,53330,55.26,56.86,52.52,53.64,53.64,190907,70.98,73.89,70.75,70.8,70.8,77074,59.87,60.19,58.99,59.01,59.01,144329,69.4,69.55,68.59,68.62,68.62,61444
2024-05-09,94.86,96.4,85.69,92.63,92.63,121703,146.9,155.21,141.12,141.45,141.45,22279,54.09,56.05,54.06,55.1,55.1,99754,70.73,72.27,69.76,69.98,69.98,166000,58.91,58.96,58.07,58.14,58.14,54247,68.52,70.99,67.56,68.34,68.34,53030
2024-05-10,92.46,95.06,89.1,92.11,92.11,123679,140.35,145.88,138.53,144.64,144.64,65912,54.92,59.46,51.34,56.37,56.37,29840,70.66,71.49,69.74,70.38,70.38,177658,58.62,60.08,56.96,59.1,59.1,62677,68.33,70.22,66.88,70.17,70.17,100661
2024-05-11,92.32,93.43,91.84,92.46,92.46,187795,144.45,147.3,143.94,144.97,144.97,30204,56.1,57.91,54.75,56.73,56.73,125879,70.22,70.88,69.29,70.08,70.08,198049,58.93,59.53,57.6,58.87,58.87,25376,70.44,70.63,70.4,70.6,70.6,110734
2024-05-12,91.8,94.5,91.07,91.83,91.83,36254,145.08,147.8,140.19,145.77,145.77,175329,56.91,57.36,55.85,56.47,56.47,133863,69.87,70.66,65.98,69.8,69.8,187328,58.94,59.65,57.09,57.86,57.86,64405,70.23,72.01,65.4,70.79,70.79,199130
2024-05-13,90.95,95.0,89.68,92.45,92.45,120399,146.37,148.25,138.76,141.77,141.77,65163,56.32,58.91,54.99,56.05,56.05,189890,69.39,70.19,64.87,68.41,68.41,128269,58.3,59.66,57.49,58.02,58.02,76843,70.82,70.84,68.95,69.01,69.01,11729
2024-05-14,92.18,95.49,89.91,94.0,94.0,182102,142.08,144.17,140.33,143.37,143.37,193904,55.98,57.3,55.84,56.18,56.18,198713,68.62,70.88,68.35,70.57,70.57,151947,58.11,62.42,56.5,57.63,57.63,39933,69.22,71.26,65.19,67.36,67.36,101462
2024-05-15,93.82,98.05,92.05,95.41,95.41,84338,142.81,143.12,140.13,140.21,140.21,20718,56.12,57.7,56.04,57.12,57.12,97687,70.54,72.52,67.58,69.52,69.52,75763,58.16,58.3,57.29,57.59,57.59,13480,67.2,68.0,66.87,67.08,67.08,108262
2024-05-16,96.02,97.08,94.34,95.34,95.34,70395,140.96,141.93,137.36,138.46,138.46,67988,57.17,57.91,56.76,56.95,56.95,81912,68.91,70.11,65.61,67.4,67.4,190546,57.89,58.31,54.84,55.22,55.22,81728,66.4,73.12,64.6,64.82,64.82,25886
2024-05-17,96.46,97.45,93.79,94.05,94.05,25278,139.84,144.76,129.8,136.38,136.38,20116,57.25,57.31,56.57,57.22,57.22,190628,67.39,68.8,63.67,64.39,64.39,164579,54.87,56.0,52.46,53.47,53.47,160495,64.34,69.49,60.83,69.16,69.16,100015
2024-05-18,94.09,94.25,92.67,93.07,93.07,11118,137.19,140.65,125.51,131.7,131.7,38171,57.32,57.58,55.23,55.26,55.26,192336,64.43,67.83,61.46,65.3,65.3,83697,53.42,55.49,51.54,52.75,52.75,76252,68.51,69.69,65.84,69.55,69.55,71931
2024-05-19,92.54,96.0,91.13,93.83,93.83,136369,132.17,133.1,126.77,129.1,129.1,31900,55.53,56.1,55.02,55.46,55.46,128184,65.52,65.96,64.98,65.85,65.85,181166,52.61,52.94,51.66,51.86,51.86,87588,69.42,71.17,65.93,70.91,70.91,55032
2024-05-20,94.01,94.07,93.45,93.57,93.57,10574,129.73,130.76,127.99,130.39,130.39,74526,54.87,55.88,53.26,53.48,53.48,29292,65.8,66.68,64.86,66.28,66.28,33833,52.08,52.38,49.83,50.44,50.44,186299,70.97,72.11,65.41,71.54,71.54,91529
2024-05-21,94.3,94.9,91.12,93.02,93.02,54501,129.97,131.36,120.96,128.7,128.7,165685,53.15,53.59,50.57,50.92,50.92,179875,65.93,66.15,65.08,65.83,65.83,132356,50.73,52.03,47.84,51.08,51.08,50411,71.9,72.72,63.81,70.72,70.72,43064
2024-05-22,93.43,94.29,90.66,92.97,92.97,31995,128.2,129.44,119.73,122.17,122.17,161051,50.54,53.77,48.33,53.74,53.74,112576,65.83,65.84,64.93,65.73,65.73,158553,50.81,51.94,46.0,48.02,48.02,160757,71.03,71.7,62.5,63.76,63.76,148362
2024-05-23,92.94,96.3,87.86,96.15,96.15,172826,122.88,124.77,116.45,120.38,120.38,117483,53.84,54.84,50.59,53.15,53.15,35089,65.84,67.62,63.78,67.16,67.16,86023,47.77,49.1,44.47,45.83,45.83,22930,63.28,65.04,59.94,62.53,62.53,195390
2024-05-24,95.95,100.34,92.09,93.35,93.35,131073,119.89,120.39,117.71,118.6,118.6,46444,52.76,56.48,48.54,55.55,55.55,58363,67.1,67.34,66.48,66.61,66.61,167114,46.13,47.02,45.72,45.83,45.83,81629,62.44,62.54,61.23,62.46,62.46,154892
2024-05-25,93.68,97.23,93.08,93.29,93.29,108334,117.79,123.49,113.13,116.99,116.99,58931,55.73,56.15,50.54,53.6,53.6,121889,66.48,66.85,64.6,65.07,65.07,59717,46.37,49.56,44.91,47.75,47.75,71467,61.98,62.89,60.87,62.41,62.41,108890
2024-05-26,93.5,96.45,93.29,95.06,95.06,28926,117.02,120.06,115.3,119.14,119.14,155483,53.1,54.35,50.39,51.84,51.84,148050,65.02,66.2,64.87,65.49,65.49,110446,47.8,49.72,47.16,48.79,48.79,148249,62.57,62.98,62.17,62.57,62.57,62452
2024-05-27,95.16,96.99,92.29,93.43,93.43,178207,119.43,120.84,117.74,118.9,118.9,90224,51.62,52.33,50.54,51.93,51.93,81258,65.33,69.07,62.26,64.79,64.79,173592,48.59,49.54,47.43,47.8,47.8,38372,62.26,62.93,59.46,62.14,62.14,198791
2024-05-28,94.2,95.19,93.27,93.97,93.97,78562,119.52,119.71,119.48,119.48,119.48,77261,52.04,52.16,50.39,51.03,51.03,108880,64.26,64.97,63.27,64.58,64.58,102131,47.77,47.9,47.49,47.52,47.52,49169,62.59,62.96,57.79,61.55,61.55,179985
2024-05-29,95.22,99.75,92.21,94.77,94.77,70128,119.2,120.37,115.51,116.57,116.57,134389,50.8,51.02,49.33,49.9,49.9,172085,64.25,64.64,64.0,64.43,64.43,83695,47.56,49.17,45.14,48.06,48.06,188323,60.96,61.35,56.8,58.84,58.84,63046
2024-05-30,94.36,97.64,93.74,94.91,94.91,87317,116.39,119.59,114.15,117.66,117.66,182931,49.62,49.79,48.22,49.51,49.51,154967,64.64,67.39,61.09,63.39,63.39,199917,48.26,49.62,45.04,49.53,49.53,92506,59.4,59.79,54.86,57.31,57.31,55744
2024-05-31,94.75,98.07,94.38,97.43,97.43,27742,117.23,118.12,115.72,115.77,115.77,74437,49.39,51.05,44.39,44.74,44.74,51830,63.47,63.75,60.83,61.3,61.3,152942,49.83,50.25,47.28,47.69,47.69,35049,57.45,58.23,55.64,55.91,55.91,187635
2024-06-01,97.71,98.32,97.22,97.46,97.46,185560,115.91,117.62,115.52,117.35,117.35,141465,44.75,46.29,44.08,45.93,45.93,42378,60.93,61.38,60.82,61.32,61.32,162670,47.72,47.85,47.05,47.08,47.08,151776,55.93,60.42,55.26,58.9,58.9,67951
2024-06-02,97.79,100.95,97.07,99.22,99.22,198464,116.8,121.4,116.33,120.18,120.18,97717,46.21,46.47,44.98,45.99,45.99,88840,61.12,62.45,60.86,60.98,60.98,74774,47.49,48.33,46.48,47.2,47.2,144649,58.81,59.9,58.04,59.75,59.75,184461
2024-06-03,99.82,101.7,96.34,97.16,97.16,36564,119.31,123.52,118.26,120.81,120.81,135567,46.04,47.68,45.64,46.3,46.3,41148,60.68,63.2,58.78,61.76,61.76,20339,46.9,49.26,45.31,47.1,47.1,60305,59.31,59.87,58.39,58.8,58.8,24399
2024-06-04,97.1,97.81,95.81,96.44,96.44,23164,121.1,121.81,117.02,117.39,117.39,144642,46.67,47.13,46.52,46.63,46.63,32313,61.78,62.19,58.73,61.85,61.85,89383,47.07,49.29,45.95,47.96,47.96,122298,58.54,59.33,58.47,58.75,58.75,103866
2024-06-05,97.05,97.75,94.73,95.56,95.56,77740,117.43,121.9,116.85,120.34,120.34,145148,46.41,48.43,46.41,47.21,47.21,48939,62.16,64.11,57.78,57.85,57.85,186423,47.64,47.73,46.98,47.44,47.44,114177,58.66,59.32,57.69,59.16,59.16,135878
2024-06-06,95.29,100.18,93.38,99.19,99.19,128618,120.6,122.68,119.62,120.96,120.96,103280,47.06,50.6,44.91,46.81,46.81,124154,57.61,62.71,55.81,56.93,56.93,73008,47.46,48.27,44.9,46.01,46.01,125235,59.36,60.71,56.49,59.35,59.35,21347
2024-06-07,99.83,100.79,93.75,100.25,100.25,194335,121.73,126.23,118.65,119.7,119.7,127034,46.49,49.63,46.15,48.51,48.51,26099,56.53,65.09,55.0,56.56,56.56,33121,45.82,46.7,45.14,45.63,45.63,165352,59.71,60.84,54.88,58.53,58.53,61516
2024-06-08,99.87,102.62,93.67,100.55,100.55,195222,119.3,126.0,116.24,116.6,116.6,26468,48.37,50.01,48.12,49.23,49.23,174398,56.04,64.57,54.98,55.97,55.97,33215,45.78,47.12,44.84,45.78,45.78,161529,58.21,59.22,55.19,56.64,56.64,125758
2024-06-09,99.89,100.15,94.06,100.1,100.1,171957,115.71,121.6,114.03,114.06,114.06,179945,49.02,50.33,48.54,50.04,50.04,95060,55.87,66.79,54.93,56.11,56.11,111659,46.05,46.24,45.71,45.98,45.98,171686,56.28,60.04,54.95,55.35,55.35,19382
2024-06-10,99.57,99.68,97.18,97.32,97.32,78154,113.92,122.83,112.07,118.35,118.35,156742,50.71,51.72,50.12,50.66,50.66,130445,56.03,68.73,54.65,56.04,56.04,15888,46.19,46.63,44.37,45.89,45.89,184629,55.26,58.07,54.14,56.29,56.29,56172
2024-06-11,96.98,102.45,93.85,96.44,96.44,45199,118.69,124.53,117.95,124.12,124.12,135690,50.94,52.0,49.44,51.31,51.31,188627,55.76,69.04,55.07,66.05,66.05,183109,45.6,47.38,43.04,43.41,43.41,124521,56.16,58.75,55.67,58.04,58.04,182242
2024-06-12,97.36,98.33,92.59,94.42,94.42,144821,122.99,124.77,117.93,120.91,120.91,83071,51.35,52.03,50.42,51.37,51.37,161763,66.85,69.43,66.36,66.51,66.51,28080,43.48,44.93,43.37,44.76,44.76,164176,58.11,60.14,55.64,58.92,58.92,152180
2024-06-13,93.53,94.54,90.45,92.47,92.47,115784,121.39,123.09,115.5,120.91,120.91,26979,51.51,53.17,50.78,52.57,52.57,67186,66.94,71.03,65.65,66.85,66.85,168884,44.55,45.92,41.89,43.84,43.84,123550,59.51,59.72,55.88,56.97,56.97,150143
2024-06-14,92.24,98.16,91.42,94.52,94.52,126964,121.19,121.35,115.17,119.84,119.84,48053,52.87,53.51,51.3,51.76,51.76,112484,66.61,69.11,66.48,67.04,67.04,20250,44.07,46.02,42.72,43.15,43.15,159780,56.71,58.33,55.62,57.55,57.55,86355
2024-06-15,94.91,96.44,94.7,95.12,95.12,185287,120.44,121.68,115.87,119.07,119.07,180519,51.72,51.8,49.48,51.39,51.39,133542,66.68,71.45,66.46,67.71,67.71,185636,43.5,44.08,43.01,43.83,43.83,78311,57.58,60.38,56.85,59.74,59.74,90087
2024-06-16,95.25,103.73,90.45,101.39,101.39,153762,119.43,119.77,109.99,110.82,110.82,47070,51.35,52.29,48.29,48.33,48.33,188107,67.51,70.49,67.4,69.68,69.68,27329,43.5,44.61,42.94,44.13,44.13,90939,60.01,62.82,57.7,59.85,59.85,138288
2024-06-17,101.14,104.47,93.49,103.5,103.5,86647,111.62,115.55,109.26,114.07,114.07,67821,48.5,49.12,47.96,48.5,48.5,65140,69.63,72.4,68.38,70.96,70.96,91523,44.28,46.27,42.78,44.22,44.22,162142,59.54,63.45,57.08,61.98,61.98,151724
